country,series,domain,earlier_regime,later_regime,bridge_class,direct_comparability,user_action
"Saudi Arabia","National accounts / GDP","national_accounts","Pre-comprehensive-revision vintages","Post-revision history; chain-linked real GDP regime","official_bridge","method_version_required","Use revised history for current analysis; preserve archived pre-revision vintages for real-time or historical-information-set analysis."
"Jordan","Quarterly GDP","national_accounts","Archived pre-revision quarterly series","Revised 2008-Q2 2025 history; ISIC Rev.4","official_bridge","method_version_required","Use revised history for current analysis; retain archived releases when reproducing older forecasts, reports or decisions."
"Morocco","Labour-force survey / unemployment","labour_market","ENE through 2025","EMO2026 onward","partial_or_provisional_bridge","no_with_old_ENE; yes_with_official_backcast_where_available","Use the EMO-compatible 2017-2025 backcast indicators where available; do not splice the old ENE series directly to EMO2026."
"Tunisia","Residential real-estate price index","prices","Pre-method-revision vintages","Revised post-2022/23 series","official_bridge","use_current_revised_series","Use the current revised series; preserve old vintages for real-time reconstruction."
"Egypt","Consumer Price Index","prices","Earlier CPI base regime","2018/19-base tenth CPI series","no_verified_bridge","growth_rates_may_be_comparable; index_levels_require_base_alignment","Identify the CPI series/base explicitly; do not compare raw index levels across base regimes without rebasing or an official linked series."
"Saudi Arabia","Consumer Price Index","prices","Earlier fixed-base CPI","Chain-linked CPI; 2023=100 reference","official_bridge","yes_with_reconstructed_series","Use GASTAT's reconstructed 2013-present series for current historical work; preserve old vintages for contemporaneous analysis."
"Jordan","Consumer Price Index","prices","2010=100","2018=100","official_bridge","yes_after_base_alignment","Use one consistent base; prefer the official 2018=100 history for current trend work."
"Tunisia","Consumer Price Index","prices","2010-base CPI","2015-base CPI","partial_or_provisional_bridge","yes_after_base_alignment","Use a single INS-published base series and document changes in weights, basket, outlets and collection procedures."
"Oman","Consumer Price Index","prices","2012-base CPI","2018-base CPI","no_verified_bridge","growth_rates_preferred_across_unbridged_base_regimes","Use the official 2018-base series; do not splice raw index levels from the archived 2012-base series without an official link or explicit rebasing."
"Qatar","Consumer Price Index","prices","2013-base CPI","2018-base CPI from 2020","official_bridge","yes_with_official_2018_base_history","Use PSA's 2018-base history across the change; preserve old releases when reproducing contemporaneous pre-2020 analysis."
"United Arab Emirates","Consumer Price Index","prices","2007 weighting regime","2014 weighting regime based on 2014-2015 HIES","no_verified_bridge","inflation_rates_require_method_version; raw_index_levels_require_base_alignment","Record the weighting regime; do not assume a fixed basket across the transition; prefer producer-published current history where available."
"Bahrain","Consumer Price Index","prices","2006-base / HIES 2005-06 weight regime","HIES 2014-15 weight regime","no_verified_bridge","method_version_required","Record the weighting regime and seek a producer-linked current history before comparing index levels across regimes."
"Lebanon","Consumer Price Index","prices","December 1998=100 regime","December 2007=100 regime","partial_or_provisional_bridge","yes_after_base_alignment_and_weight_regime_review","Do not compare raw index levels across the two bases; use one CAS-published base regime or an explicit linking procedure and record the weight regime."
"Lebanon","Annual national accounts","national_accounts","Earlier published annual-account vintages","2022-2023 release with revisions to prior years","official_bridge","method_version_required_for_real_time_analysis","Use the current revised series for current history; preserve earlier vintages when reproducing forecasts or policy analysis made before the revision."
"Kuwait","Annual establishment survey - non-financial services","business_statistics","Pre-2002 questionnaire/classification/frame regime","2002 redesign onward with ISIC Rev.3 and new establishment frame","no_verified_bridge","classification_bridge_required_for_detailed_activity_series","Mark 2002 as a survey/classification boundary; do not merge detailed pre-2002 and post-2002 activity categories without a documented classification bridge."
