country,series,period_or_regime_a,period_or_regime_b,directly_comparable,official_bridge_or_backcast,recommended_user_action,source_status
Saudi Arabia,National accounts / GDP,Pre-comprehensive-revision vintages,Post-comprehensive-revision revised history,Method version required,Official revised historical series available,Use revised series for current analysis; preserve archived vintages for real-time analysis,Source-verified
Jordan,Quarterly GDP,Archived pre-revision quarterly series,Revised series covering 2008-Q2 2025,Method version required,Official revised historical series available,Use revised history for current analysis; preserve archived releases when reproducing older work,Source-verified
Morocco,Labour-force survey / unemployment,ENE published series through 2025,EMO2026 from 2026 onward,No,Provisional EMO-compatible 2017-2025 backcast available,Use official EMO-compatible backcast where available; do not splice old ENE directly to EMO2026,Source-verified; producer review requested
Tunisia,Residential real-estate price index,Pre-method-revision vintages,Revised series after 2022-2023 methodology work,Use current revised history for current analysis,Revised 2022-2023 values published by INS,Use current revised series; preserve older vintages for real-time reconstruction,Source-verified
Egypt,Consumer Price Index,Earlier CPI base regime,Tenth CPI series using 2018/19 base,Index levels require base alignment,Bridge treatment must be explicit,Use one base regime or official linked/rebased series; prefer supported inflation rates for continuity,Source-verified
Saudi Arabia,Consumer Price Index,Earlier fixed-base CPI,Chain-linked CPI reconstructed from 2013 with 2023=100 reference,Yes with reconstructed series,Official reconstructed series from 2013 available,Use reconstructed 2013-present series for current historical analysis,Source-verified
Jordan,Consumer Price Index,2010=100 series,2018=100 series,Yes after base alignment,Official overlapping historical tables available,Use one consistent base; prefer DoS-published 2018=100 history for current trend work,Source-verified
Tunisia,Consumer Price Index,2010-base CPI,2015-base CPI,Yes after base alignment but methodology also changed,INS publishes current 2015=100 series and multi-base history,Use a single INS-published base series and document broader basket/weight/collection changes,Source-verified
Oman,Consumer Price Index,2012-base CPI,2018-base CPI,Raw index levels not directly comparable without rebasing,Current official 2018-base series available,Use official 2018-base series; do not splice raw 2012-base levels without official link,Source-verified
Qatar,Consumer Price Index,2013-base CPI,2018-base CPI from 2020,Yes with official 2018-base history,Official historical values published on 2018=100 basis,Use PSA 2018-base history across the change; preserve old releases for contemporaneous reconstruction,Source-verified
